seasonId,teamAbbrev,pointPctg,winPctg,goalsForPctg,goalDifferentialPctg,wildcardSequence
20062007,EDM,0.432927,0.390244,2.378049,-0.646341,0
20062007,FLA,0.52439,0.426829,3.012195,-0.121951,0
20062007,LAK,0.414634,0.329268,2.768293,-0.682927,0
20062007,MIN,0.634146,0.585366,2.865854,0.536585,0
20062007,MTL,0.54878,0.512195,2.987805,-0.134146,0
20062007,NJD,0.652439,0.597561,2.634146,0.182927,0
20062007,NSH,0.670732,0.621951,3.317073,0.731707,0
20062007,NYI,0.560976,0.487805,3.02439,0.097561,0
20062007,NYR,0.573171,0.512195,2.95122,0.317073,0
20062007,OTT,0.640244,0.585366,3.512195,0.804878,0
20062007,PHI,0.341463,0.268293,2.609756,-1.085366,0
20062007,PHX,0.408537,0.378049,2.634146,-0.829268,0
20062007,PIT,0.640244,0.573171,3.378049,0.378049,0
20062007,SJS,0.652439,0.621951,3.146341,0.719512,0
20062007,STL,0.493902,0.414634,2.609756,-0.487805,0
20062007,TBL,0.567073,0.536585,3.085366,-0.097561,0
20062007,TOR,0.554878,0.487805,3.146341,-0.134146,0
20062007,VAN,0.640244,0.597561,2.707317,0.256098,0
20062007,WSH,0.426829,0.341463,2.865854,-0.621951,0
20072008,ANA,0.621951,0.573171,2.5,0.170732,0
20072008,ATL,0.463415,0.414634,2.634146,-0.682927,0
20072008,BOS,0.573171,0.5,2.585366,-0.121951,0
20072008,BUF,0.54878,0.47561,3.109756,0.158537,0
20072008,CAR,0.560976,0.52439,3.073171,0.036585,0
20072008,CBJ,0.487805,0.414634,2.353659,-0.304878,0
20072008,CGY,0.573171,0.512195,2.792683,0.02439,0
20072008,CHI,0.536585,0.487805,2.914634,0.04878,0
20072008,COL,0.579268,0.536585,2.817073,0.146341,0
20072008,DAL,0.591463,0.54878,2.95122,0.426829,0
20072008,DET,0.70122,0.658537,3.134146,0.890244,0
20072008,EDM,0.536585,0.5,2.865854,-0.195122,0
20072008,FLA,0.518293,0.463415,2.634146,-0.121951,0
20072008,LAK,0.432927,0.390244,2.817073,-0.426829,0
20072008,MIN,0.597561,0.536585,2.719512,0.060976,0
20072008,MTL,0.634146,0.573171,3.195122,0.487805,0
20072008,NJD,0.603659,0.560976,2.512195,0.109756,0
20072008,NSH,0.554878,0.5,2.804878,0.012195,0
20072008,NYI,0.481707,0.426829,2.365854,-0.597561,0
20072008,NYR,0.591463,0.512195,2.597561,0.170732,0
20072008,OTT,0.573171,0.52439,3.182927,0.170732,0
20072008,PHI,0.579268,0.512195,3.02439,0.182927,0
20072008,PHX,0.506098,0.463415,2.609756,-0.207317,0
20072008,PIT,0.621951,0.573171,3.012195,0.378049,0
20072008,SJS,0.658537,0.597561,2.707317,0.353659,0
20072008,STL,0.481707,0.402439,2.5,-0.390244,0
20072008,TBL,0.432927,0.378049,2.719512,-0.536585,0
20072008,TOR,0.506098,0.439024,2.817073,-0.353659,0
20072008,VAN,0.536585,0.47561,2.597561,-0.02439,0
20072008,WSH,0.573171,0.52439,2.95122,0.134146,0
20082009,ANA,0.554878,0.512195,2.987805,0.085366,0
20082009,ATL,0.463415,0.426829,3.134146,-0.280488,0
20082009,BOS,0.707317,0.646341,3.341463,0.95122,0
20082009,BUF,0.554878,0.5,3.04878,0.195122,0
20082009,CAR,0.591463,0.54878,2.914634,0.158537,0
20082009,CBJ,0.560976,0.5,2.756098,-0.04878,0
20082009,CGY,0.597561,0.560976,3.097561,0.073171,0
20082009,CHI,0.634146,0.560976,3.219512,0.585366,0
20082009,COL,0.420732,0.390244,2.426829,-0.707317,0
20082009,DAL,0.506098,0.439024,2.804878,-0.329268,0
20082009,DET,0.682927,0.621951,3.597561,0.621951,0
20082009,EDM,0.518293,0.463415,2.853659,-0.170732,0
20082009,FLA,0.567073,0.5,2.853659,0.036585,0
20082009,LAK,0.481707,0.414634,2.52439,-0.329268,0
20082009,MIN,0.542683,0.487805,2.670732,0.231707,0
20082009,MTL,0.567073,0.5,3.036585,0.02439,0
